listing_id,weekly_rent,bond,bedrooms,bathrooms,car_spaces,property_type_primary,property_type_secondary,address,suburb,state,postcode,lat,lon,orientation_degrees,orientation_cardinal
10856328,380.0,1651.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,6 High Street,North Melbourne,VIC,3051.0,-37.7999246,144.9538809,229.98292035380183,SW
10887369,400.0,,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,5 Dudley Street,Caulfield East,VIC,3145.0,-37.880464,145.0480025,229.01221929481136,SW
10927097,420.0,1825.0,3.0,2.0,1.0,House,House,31 Citreus Circuit,Brookfield,VIC,3338.0,-37.6968725,144.5416829,232.3603442581294,SW
10929535,580.0,2520.0,2.0,2.0,1.0,Townhouse/Villa,Townhouse,11/52 Gadd Street,Northcote,VIC,3070.0,-37.7623261,144.991334,230.09692865431455,SW
10954683,335.0,1456.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,223/386 Burwood Highway,Burwood,VIC,3125.0,-37.8520672,145.1304512,228.85932676847787,SW
10989581,590.0,2564.0,3.0,2.0,2.0,House,House,17 Arunta Crescent,Clarinda,VIC,3169.0,-37.928747,145.1072639,228.41667102318203,SW
10991489,320.0,1390.0,1.0,1.0,0.0,Apartment,Studio,310/2 Eastern Place,Hawthorn East,VIC,3123.0,-37.8233469,145.0455415,229.42931724014673,SW
11010473,,,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,Melbourne VIC 3000,Melbourne,VIC,3000.0,-37.8152065,144.963937,229.83160855877148,SW
11024746,560.0,2433.0,2.0,1.0,1.0,House,House,5 Scarborough Place,Kensington,VIC,3031.0,-37.791381,144.934543,230.12453668386294,SW
11024806,365.0,1586.0,1.0,1.0,0.0,Apartment,Studio,412/127 Leicester Street,Carlton,VIC,3053.0,-37.8028669,144.9602837,229.93514736125474,SW
11030041,550.0,2390.0,4.0,2.0,2.0,House,House,12 Thoroughbred Drive,Clyde,VIC,3978.0,-38.11768350000001,145.3377715,226.08255543978507,SW
11075798,455.0,1977.0,2.0,1.0,1.0,Townhouse/Villa,Townhouse,1a Wood,Deer Park,VIC,3023.0,-37.7762744,144.7733695,230.88948999719827,SW
11092729,670.0,2911.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,2502/200 Spencer Street,Melbourne,VIC,3000.0,-37.8161893,144.9532649,229.8691391876725,SW
11092851,510.0,2216.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,6/109 Melville Road,Brunswick West,VIC,3055.0,-37.7606174,144.9443254,230.30520725042035,SW
11092882,700.0,3042.0,2.0,2.0,1.0,Apartment,Apartment / Unit / Flat,C308/142 Rouse Street,Port Melbourne,VIC,3207.0,-37.8421512,144.9399802,229.73955083667437,SW
11115183,450.0,1955.0,1.0,1.0,0.0,Apartment,Studio,1216/6 Leicester Street,Carlton,VIC,3053.0,-37.806138,144.9602874,229.91171123579224,SW
11144994,450.0,1955.0,4.0,2.0,2.0,House,House,34 Kilmore Street (Lot 319),Brookfield,VIC,3338.0,-37.706331,144.5498633,232.2615627258768,SW
11151719,650.0,2824.0,2.0,1.0,0.0,Apartment,Apartment / Unit / Flat,2108/8 Franklin Street,Melbourne,VIC,3000.0,-37.8074717,144.9621267,229.89448740454787,SW
11164722,340.0,1473.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,3/54 McNicholl Way,Delahey,VIC,3037.0,-37.7125744,144.7822029,231.31187863236718,SW
11174831,510.0,2216.0,1.0,1.0,1.0,Apartment,Apartment / Unit / Flat,102/114 Helen Street,Northcote,VIC,3070.0,-37.7693861,144.9977214,230.0191714731259,SW
11177434,460.0,1999.0,4.0,2.0,2.0,House,House,84 Hamish Drive,Tarneit,VIC,3029.0,-37.8409918,144.6610953,230.87617171740726,SW
11246350,510.0,2216.0,4.0,2.0,2.0,House,House,20 Jemma Avenue,Point Cook,VIC,3030.0,-37.9098968,144.7780564,229.92710635322675,SW
11267210,500.0,2173.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,2/94 Primrose Street,Essendon,VIC,3040.0,-37.7553888,144.9282959,230.40928119533325,SW
11269230,460.0,,4.0,2.0,2.0,House,House,55 Welcome Parade,Wyndham Vale,VIC,3024.0,-37.852478,144.5937479,231.05852323161014,SW
11289583,380.0,1651.0,1.0,1.0,0.0,Apartment,Studio,408/127 Leicester Street,Carlton,VIC,3053.0,-37.8028669,144.9602837,229.93514736125474,SW
11296335,650.0,2824.0,2.0,1.0,1.0,House,House,3 Hartington Street,Elsternwick,VIC,3185.0,-37.8909665,145.0097974,229.1004814242952,SW
11425011,,,3.0,2.0,2.0,House,House,Chirnside Park VIC 3116,Chirnside Park,VIC,3116.0,-37.7373267,145.3088196,228.90386765976686,SW
